Date : 2026-08-05 15:20:06
Directory : /Volumes/data/projects/poxenstudio/MyNexus/core-api
Total : 61 files,  5699 codes, 578 comments, 926 blanks, all 7203 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |         47 |      5,246 |        546 |        880 |      6,672 |
| MS SQL           |         11 |        203 |         32 |         35 |        270 |
| Go Checksum File |          1 |        175 |          0 |          1 |        176 |
| Go Module File   |          1 |         50 |          0 |          4 |         54 |
| Docker           |          1 |         25 |          0 |          6 |         31 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |         61 |      5,699 |        578 |        926 |      7,203 |
| . (Files)                                                                                                              |          3 |        250 |          0 |         11 |        261 |
| cmd                                                                                                                    |          1 |         49 |          6 |         10 |         65 |
| cmd/mynexus-api                                                                                                        |          1 |         49 |          6 |         10 |         65 |
| internal                                                                                                               |         57 |      5,400 |        572 |        905 |      6,877 |
| internal/api                                                                                                           |         19 |      1,398 |        113 |        263 |      1,774 |
| internal/api (Files)                                                                                                   |          1 |         79 |          8 |         18 |        105 |
| internal/api/dto                                                                                                       |          7 |        321 |         17 |         65 |        403 |
| internal/api/handler                                                                                                   |          8 |        868 |         61 |        156 |      1,085 |
| internal/api/middleware                                                                                                |          3 |        130 |         27 |         24 |        181 |
| internal/auth                                                                                                          |          3 |         81 |         12 |         20 |        113 |
| internal/config                                                                                                        |          1 |        169 |         56 |         25 |        250 |
| internal/coordinator                                                                                                   |          1 |        166 |         39 |         31 |        236 |
| internal/grpcapi                                                                                                       |          2 |      2,044 |        189 |        298 |      2,531 |
| internal/grpcapi/mynexuspb                                                                                             |          2 |      2,044 |        189 |        298 |      2,531 |
| internal/grpcserver                                                                                                    |          1 |        147 |         23 |         26 |        196 |
| internal/models                                                                                                        |          8 |        131 |          9 |         23 |        163 |
| internal/service                                                                                                       |          6 |        803 |         55 |        131 |        989 |
| internal/storage                                                                                                       |         16 |        461 |         76 |         88 |        625 |
| internal/storage (Files)                                                                                               |          2 |         89 |         19 |         14 |        122 |
| internal/storage/postgres                                                                                              |          8 |        229 |         29 |         46 |        304 |
| internal/storage/postgres (Files)                                                                                      |          2 |        126 |         12 |         27 |        165 |
| internal/storage/postgres/migrations                                                                                   |          6 |        103 |         17 |         19 |        139 |
| internal/storage/sqlite                                                                                                |          6 |        143 |         28 |         28 |        199 |
| internal/storage/sqlite (Files)                                                                                        |          1 |         43 |         13 |         12 |         68 |
| internal/storage/sqlite/migrations                                                                                     |          5 |        100 |         15 |         16 |        131 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                               | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/Dockerfile                                                         | Docker           |         25 |          0 |          6 |         31 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/cmd/mynexus-api/main.go                                            | Go               |         49 |          6 |         10 |         65 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/go.mod                                                             | Go Module File   |         50 |          0 |          4 |         54 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/go.sum                                                             | Go Checksum File |        175 |          0 |          1 |        176 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/audit_dto.go                                      | Go               |         23 |          0 |          5 |         28 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/book_dto.go                                       | Go               |        100 |          2 |         18 |        120 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/chat_dto.go                                       | Go               |         60 |          5 |         12 |         77 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/api/dto/search_dto.go                                     | Go               |         36 |          4 |          7 |         47 |
